Team,Name,Position,Age,Height,Weight,Salary,ContractYears,Health,POT,Intangibles,SPD,AGI,STR,VERT,STA,HUS,DUR,CLOSE,MID,3C,3_45,3T,FT,SIQ,OCON,LAY,DNK,POST,DRAW,HANDS,PACC,HANDL,SPWB,PIQ,PVIS,IDEF,PDEF,LOCK,STL,BLK,HDEF,PPER,DCON,OREB,DREB
시카고 불스,Josh Giddey,PG,23,203,95,8.3,1,Healthy,92,90,79,79,60,74,88,90,80,87,42,82,82,82,76,90,90,94,55,55,89,90,92,90,79,92,90,50,62,45,41,50,57,54,45,44,85
시카고 불스,Coby White,SG,25,196,88,12,1,Healthy,87,75,85,85,56,81,90,85,80,80,75,75,75,75,80,80,80,90,65,48,84,95,79,87,84,84,72,49,65,60,38,25,66,64,55,31,51
시카고 불스,Isaac Okoro,SF,24,196,102,11.5,3,Healthy,82,75,77,85,67,80,89,90,82,66,60,78,78,78,76,75,45,80,70,47,54,80,65,71,73,67,34,68,84,75,38,57,80,82,80,50,40
시카고 불스,Matas Buzelis,PF,21,208,94,5.2,4,Healthy,87,90,86,70,60,84,90,85,80,88,75,77,77,77,77,85,85,85,84,60,59,90,65,72,76,69,36,58,62,60,42,81,65,62,50,47,65
시카고 불스,Nikola Vucevic,C,35,208,118,20,1,Healthy,88,80,62,49,87,45,88,70,77,97,94,82,82,82,78,80,85,70,70,87,50,80,77,35,32,76,65,68,41,35,38,52,67,57,45,60,84
시카고 불스,Tre Jones,PG,25,185,84,9.1,1,Healthy,85,80,80,80,60,71,85,75,81,82,85,70,70,70,84,80,75,86,35,30,62,80,83,84,80,83,73,34,73,50,73,42,70,67,60,37,45
시카고 불스,Ayo Dosunmu,SG,25,196,91,7,1,Healthy,80,60,76,78,52,75,85,75,80,82,91,85,85,85,86,75,75,87,70,42,59,80,72,79,73,79,67,38,69,60,38,42,68,69,65,36,46
시카고 불스,Kevin Huerter,SG,27,201,90,16.8,1,Healthy,81,75,84,73,50,75,85,80,83,95,79,77,77,77,75,55,65,85,50,35,50,90,74,79,72,76,55,44,64,54,43,62,58,57,50,36,62
시카고 불스,Jalen Smith,PF,25,208,98,8.5,2,Healthy,80,70,69,68,65,86,82,70,80,78,72,80,80,80,78,65,65,69,85,71,47,80,29,38,49,40,41,70,48,37,37,80,73,44,45,81,86
시카고 불스,Zach Collins,C,28,211,113,16.7,1,Healthy,80,75,66,65,60,79,75,75,80,89,79,80,80,80,70,70,50,70,70,83,50,75,30,40,38,30,44,68,45,40,31,58,67,67,40,68,82
시카고 불스,Patrick Williams,PF,24,201,102,17,4,Healthy,83,70,70,74,64,77,88,76,81,49,73,83,83,83,66,60,55,68,65,40,45,80,60,70,64,62,35,70,76,70,59,53,80,65,65,45,55
시카고 불스,Jevon Carter,PG,30,185,91,6.5,1,Healthy,77,60,76,83,60,71,85,76,81,92,89,82,82,82,82,80,65,75,35,30,40,80,75,79,76,70,67,34,79,45,53,56,72,75,70,38,38
시카고 불스,Dalen Terry,SG,23,201,88,3.5,1,Healthy,80,70,76,76,58,69,85,85,80,77,72,68,68,68,69,65,55,77,55,42,54,85,76,80,74,78,49,43,69,55,63,53,69,70,65,56,52
시카고 불스,Julian Phillips,SF,22,203,90,1.8,2,Healthy,78,50,73,78,40,80,85,85,80,81,68,75,75,75,77,70,50,70,70,55,55,80,60,66,67,57,29,55,68,55,46,55,67,68,65,63,41
시카고 불스,Lachlan Olbrich,C,22,208,105,1.1,1,Healthy,80,65,50,48,68,49,85,90,80,70,66,61,61,61,58,50,50,67,60,65,60,80,68,60,48,69,48,60,37,35,47,50,66,50,50,62,65
클리블랜드 캐벌리어스,Darius Garland,PG,25,185,87,36.7,4,Healthy,89,60,88,88,40,84,95,90,80,94,90,85,85,85,90,75,80,84,40,42,50,85,85,89,88,85,77,31,71,55,38,32,69,66,50,34,43
클리블랜드 캐벌리어스,Donovan Mitchell,SG,29,191,98,35.4,3,Healthy,94,90,95,90,60,97,96,95,80,98,97,82,82,82,84,90,98,95,92,44,90,98,84,90,86,84,73,68,75,55,63,45,79,79,75,38,56
클리블랜드 캐벌리어스,Dean Wade,SF,29,206,103,6.3,2,Healthy,80,70,62,75,60,83,80,85,79,78,70,75,75,75,73,85,65,78,75,60,44,70,38,60,43,55,37,50,77,60,43,56,74,68,65,44,64
클리블랜드 캐벌리어스,Evan Mobley,PF,24,211,98,35.1,5,Healthy,96,70,72,79,74,81,90,90,80,70,55,76,76,76,64,70,60,78,85,83,67,85,69,60,66,74,66,96,82,75,41,85,95,85,95,65,79
클리블랜드 캐벌리어스,Jarrett Allen,C,27,211,110,20,2,Healthy,88,50,75,72,84,79,90,90,82,87,90,63,63,63,77,90,70,80,90,84,60,95,25,35,35,48,44,88,72,61,53,67,88,67,85,65,85
클리블랜드 캐벌리어스,Craig Porter Jr.,PG,25,188,84,1.8,2,Healthy,81,80,79,79,48,72,88,90,80,85,84,84,84,84,69,75,60,79,45,49,60,85,75,73,79,75,69,44,73,69,90,72,60,84,65,68,56
클리블랜드 캐벌리어스,Sam Merrill,SG,29,193,93,2.1,1,Healthy,80,85,62,68,52,60,80,60,79,78,78,88,88,88,87,85,85,64,45,48,55,80,74,76,60,79,51,42,68,55,40,40,62,62,55,38,41
클리블랜드 캐벌리어스,Jaylon Tyson,SF,22,201,95,3.2,4,Healthy,83,60,80,76,63,75,85,93,80,94,78,86,86,86,74,70,75,79,65,52,69,90,62,75,77,69,39,50,70,55,53,60,70,67,60,65,60
클리블랜드 캐벌리어스,De'Andre Hunter,SF,27,203,102,23.3,2,Healthy,80,60,76,83,65,75,88,80,80,94,90,74,74,74,87,60,70,79,70,51,60,85,67,70,69,64,41,63,82,76,40,37,80,60,80,37,62
클리블랜드 캐벌리어스,Thomas Bryant,C,28,208,112,2.1,1,Healthy,80,55,62,57,80,52,88,95,82,95,85,75,75,75,83,55,45,70,65,73,37,78,40,53,53,42,32,63,40,40,40,73,79,50,45,67,80
클리블랜드 캐벌리어스,Lonzo Ball,PG,28,198,86,18,1,Healthy,83,50,85,86,52,80,93,70,80,55,63,70,70,70,70,40,30,70,55,44,50,84,83,86,85,83,72,60,81,71,86,51,80,80,75,46,64
클리블랜드 캐벌리어스,Nae'Qwan Tomlin,PF,24,208,95,1.1,1,Healthy,80,70,75,70,62,80,80,80,80,73,72,70,70,70,71,60,65,79,74,57,55,80,67,72,65,70,30,64,70,55,66,82,67,62,60,78,55
