Team,Name,Position,Age,Height,Weight,Salary,ContractYears,Health,POT,Intangibles,SPD,AGI,STR,VERT,STA,HUS,DUR,CLOSE,MID,3C,3_45,3T,FT,SIQ,OCON,LAY,DNK,POST,DRAW,HANDS,PACC,HANDL,SPWB,PIQ,PVIS,IDEF,PDEF,LOCK,STL,BLK,HDEF,PPER,DCON,OREB,DREB
댈러스 매버릭스,RJ Nembhard Jr.,PG,26,196,91,2,1,Healthy,75,75,80,79,37,68,85,85,80,91,94,83,81,83,77,75,65,79,30,35,35,85,89,86,80,89,80,31,66,45,32,25,57,75,45,37,43
댈러스 매버릭스,Max Christie,SG,23,198,86,7.5,3,Healthy,77,75,87,87,55,82,98,85,80,75,92,90,91,90,86,75,67,74,80,42,41,90,68,70,78,66,40,44,80,76,35,51,77,75,75,29,53
댈러스 매버릭스,Cooper Flagg,PF,18,206,93,10.5,4,Healthy,89,85,83,85,71,80,87,82,84,91,75,76,78,77,81,85,85,87,82,60,79,90,70,76,75,70,67,81,83,75,49,58,82,75,80,42,65
댈러스 매버릭스,P.J. Washington,SF,27,201,104,15.5,1,Healthy,81,55,75,84,68,69,85,85,79,88,79,74,74,74,69,60,60,75,80,63,44,95,55,70,63,60,36,83,85,84,46,77,84,85,80,49,75
댈러스 매버릭스,Anthony Davis,C,32,208,115,43.2,3,Healthy,85,80,79,78,92,86,87,85,78,97,73,71,70,72,73,80,85,82,90,85,87,85,60,75,67,72,60,90,80,73,53,82,90,88,90,76,86
댈러스 매버릭스,Brandon Williams,PG,26,188,86,2,1,Healthy,76,90,79,79,62,68,89,70,81,78,95,70,70,71,81,80,75,84,50,50,66,90,80,82,77,80,73,33,62,54,76,45,57,52,45,37,50
댈러스 매버릭스,Naji Marshall,SF,27,201,100,9,3,Healthy,78,80,62,65,67,75,85,70,80,98,71,72,71,72,80,85,80,82,70,72,69,80,67,74,62,71,50,52,60,45,46,30,62,64,40,40,60
댈러스 매버릭스,Klay Thompson,SG,35,198,100,15.8,3,Healthy,80,85,71,75,62,67,91,80,94,85,72,86,89,88,68,85,80,67,65,64,30,85,57,67,71,57,36,60,75,72,36,51,70,48,70,32,51
댈러스 매버릭스,Caleb Martin,SF,30,196,93,8.1,4,Healthy,75,40,68,74,58,74,85,90,80,72,71,75,76,75,63,65,40,84,70,54,48,75,62,69,59,69,41,68,75,72,53,58,74,72,70,52,51
댈러스 매버릭스,Daniel Gafford,C,27,208,106,13.4,2,Healthy,86,50,75,70,73,80,75,89,71,87,65,29,25,25,78,70,40,75,85,67,40,70,37,35,44,37,32,84,57,49,59,87,83,50,80,68,79
댈러스 매버릭스,D'Angelo Russell,PG,29,191,88,18.7,1,Healthy,83,60,81,65,54,71,93,65,83,94,92,76,74,74,72,60,55,85,45,45,67,81,85,90,81,85,82,40,57,55,40,37,54,40,45,35,53
