Team,Name,Position,Age,Height,Weight,Salary,ContractYears,Health,POT,Intangibles,SPD,AGI,STR,VERT,STA,HUS,DUR,CLOSE,MID,3C,3_45,3T,FT,SIQ,OCON,LAY,DNK,POST,DRAW,HANDS,PACC,HANDL,SPWB,PIQ,PVIS,IDEF,PDEF,LOCK,STL,BLK,HDEF,PPER,DCON,OREB,DREB
보스턴 셀틱스,Payton Pritchard,PG,27,185,88,6.7,3,Healthy,84,90,75,75,41,66,84,78,81,98,97,78,78,78,86,90,90,85,35,35,57,75,84,82,75,82,71,36,60,55,41,32,60,45,35,42,53
보스턴 셀틱스,Derrick White,SG,31,193,86,18.5,4,Healthy,88,70,88,93,46,75,85,95,81,83,97,80,80,80,87,75,70,87,55,35,70,90,88,86,87,82,70,58,91,85,59,82,92,78,95,37,53
보스턴 셀틱스,Jaylen Brown,SF,28,198,101,52.3,5,Healthy,96,95,79,88,69,84,95,95,82,96,97,81,81,81,78,95,98,94,89,80,85,95,78,86,78,84,72,70,89,75,46,52,86,87,85,45,67
보스턴 셀틱스,Sam Houser,SF,27,201,98,2.1,2,Healthy,80,85,61,62,66,62,85,88,80,89,75,82,82,82,89,85,70,60,60,45,55,95,50,43,55,60,33,48,55,45,40,55,52,44,45,41,62
보스턴 셀틱스,Neemias Queta,C,26,213,111,2,2,Healthy,80,75,59,59,79,65,80,95,80,98,69,50,50,50,60,75,55,75,70,62,50,85,52,38,30,62,35,76,45,40,46,86,70,48,65,85,80
보스턴 셀틱스,Anfernee Simons,SG,26,190,82,24.5,2,Healthy,83,80,86,89,41,90,92,90,80,97,76,82,82,82,90,70,75,89,89,48,68,95,75,86,79,79,55,48,59,40,38,37,50,55,40,35,46
보스턴 셀틱스,Baylor Scheierman,SF,24,198,92,2.5,4,Healthy,80,90,86,64,54,54,90,85,80,73,80,85,85,85,85,80,65,71,50,48,44,66,70,71,75,69,33,47,56,40,53,40,57,47,40,41,56
보스턴 셀틱스,Hugo Gonzalez,SF,19,198,90,4.5,4,Healthy,83,70,75,75,55,75,88,90,80,82,76,82,82,82,76,75,65,74,65,42,40,70,62,70,70,62,30,53,73,60,80,56,74,70,65,56,69
보스턴 셀틱스,Jordan Walsh,SF,21,198,93,1.8,2,Healthy,80,60,77,81,63,86,89,90,80,67,67,86,86,86,83,75,60,68,75,57,52,85,63,68,68,62,32,78,82,70,79,67,82,85,80,67,71
보스턴 셀틱스,Luka Garza,C,26,208,110,2.1,1,Healthy,81,80,40,40,69,48,80,85,80,97,74,82,82,82,79,70,85,74,55,79,59,85,55,35,34,55,37,54,30,30,40,70,52,56,30,95,54
보스턴 셀틱스,Josh Minott,PF,22,203,93,2,2,Healthy,80,70,72,76,62,80,90,85,80,69,85,85,85,85,77,70,55,75,80,52,59,85,62,63,68,60,37,59,67,50,63,63,67,79,65,67,68
보스턴 셀틱스,Xavier Tillman,PF,26,201,111,4.5,2,Healthy,79,50,46,67,72,69,82,85,80,86,68,62,62,62,45,60,45,73,75,70,46,95,62,61,37,68,29,74,66,60,49,57,75,74,65,51,72
보스턴 셀틱스,Max Shulga,SG,23,193,89,1.1,1,Healthy,79,60,75,72,52,67,80,60,80,74,77,80,80,80,78,50,50,74,45,48,55,80,75,75,74,75,54,42,60,45,75,28,57,54,50,41,47
보스턴 셀틱스,Amari Williams,C,23,208,120,1.1,1,Healthy,79,40,66,68,69,75,85,85,80,67,60,55,55,55,62,50,40,67,80,60,54,70,66,65,62,69,56,70,60,45,47,68,72,50,55,60,60
